10dacb	10-Deacetylbaccatin III
CE2435	trans,cis-deca-2,4-dienoyl-CoA
CE2437	2E,6Z,9Z,12Z-octadecatetraenoyl-CoA
CE2438	3(S)-hydroxy-6Z,9Z,12Z-octadecatrienoyl-CoA
CE2439	3-oxo-6Z,9Z,12Z-octadecatrienoyl-CoA
CE2440	4Z,7Z,10Z-hexadecatrienoyl-CoA
CE2441	2E,4Z,7Z,10Z-hexadecatetraenoyl-CoA
CE2442	3Z,7Z,10Z-hexadecatrienoyl-CoA
CE2445	6-trans-Leukotriene B4
CE2446	6E-12-epi-leukotriene B4
CE2449	11,12-Dihydroxy-5(E),7(E),9(E),14(Z)-Eicosatetraenoate
CE2510	Eicosenoic acid
CE2512	13-docosenoate
CE2513	15-tetracosenoate
CE2516	(8Z,11Z,14Z)-eicosatrienoic acid
CE2537	15(S)-Hydroxyeicosatrienoic acid
CE2539	9-Hydroxyoctadecadienoate
CE2540	timnodonate
CE2565	15(R)-Hydroxy-(5Z,8Z,11Z,13E)-eicosatetraenoate
CE2566	5(S),6(S)-epoxy-15(R)-hydroxyeicosatetraenoate
CE2567	5(S),6(S)-epoxy-15(S)-hydroxy-7E,9E,11Z,13E-eicosatetraenoic acid anion
CE2568	15-epi-lipoxin A4
CE2569	15-epi-lipoxin B4
CE2576	4-hydroperoxy-2-nonenal
CE2577	4-oxo-2-nonenal
CE2591	trans,cis-hexadeca-2,9-dienoyl-CoA
CE2592	(S)-3-hydroxypalmitoleoyl-CoA
CE2594	trans,cis-myristo-2,7-dienoyl-CoA
CE2596	trans,cis-dodeca-2,5-dienoyl-CoA
CE2597	3(S)-3-hydroxydodecen-(5Z)-oyl-CoA
CE2615	2-hydroxyamino-3,8-dimethylimidazo[4,5-f]quinoxaline
CE2616	2-hydroxyamino-MeIQx-N2-(beta-1-glucosiduronyl)-2-hydroxyamino-3,8-dimethylimidazo[4,5-f]quinoxaline
CE2705	quinonoid dihydrobiopterin
CE2725	9,10-Epoxy-12Z-Octadecenoic Acid
CE2726	7,8-Epoxy-(4Z,10Z)-Hexadecadienoic Acid
CE2727	5,6-Epoxy-(8Z)-Tetradecenoic Acid
CE2728	10,11-Epoxy-(4Z,7Z)-Hexadecadienoic Acid
CE2729	8,9-Epoxy-(5Z)-Tetradecenoic Acid
CE2751	dynorphin A (1-5)
CE2754	3,3,5 - triiodothyronine
CE2838	maltononaose
CE2839	maltodecaose
CE2846	fructoselysine 3-phosphate
CE2847	fructoseglycine
CE2848	fructoseglycine ketone 3-phosphate
CE2858	dynorphin A 1-8
CE2862	neurotensin 1-10
CE2863	neurotensin 11-13
CE2866	3,3-diiodo-L-thyronine
CE2870	3,3-diiodo-L-thyronine 4-O-sulfate
CE2872	3,5-diiodo-L-thyronine
CE2873	3,5-diiodo-L-thyronine 4-O-sulfate
CE2874	3-monoiodo-L-thyronine
CE2875	3-monoiodo-L-thyronine 4-O-sulfate
CE2876	3,5-diiodo-L-thyronine-beta-D-glucuronoside
CE2877	3,5,3,5-tetraiodo-L-thyronine-beta-D-glucuronoside
CE2878	3,3,5-triiodo-L-thyronine-beta-D-glucuronoside
CE2879	3,5,3-triiodo-L-thyronine-beta-D-glucuronoside
CE2880	3,3-diiodo-L-thyronine-beta-D-glucuronoside
CE2881	3,5,3,5-tetraiodothyroacetate
CE2882	3,3,5-triiodothyroacetate
CE2883	3,5,3-triiodothyroacetate
CE2884	3,5-diiodothyroacetate
CE2885	3,5,3,5-tetraiodothyroacetate-beta-D-glucuronoside
CE2886	3,3,5-triiodothyroacetate-beta-D-glucuronoside
CE2887	3,5,3-triiodothyroacetate-beta-D-glucuronoside
CE2888	3,5-diiodothyroacetate-beta-D-glucuronoside
CE2890	dynorphin A (6-8)
CE2891	dynorphin B
CE2915	beta-casomorphin
CE2916	neocasomorphin
CE2917	apelin-13
CE2934	2-Methylhippuric acid
CE2947	xanthurenate-8-O-beta-D-glucoside
CE2949	oxoxanthurenate
CE2953	rac-5,6-epoxy-retinoate
CE2954	4-oxo-Retinoic acid
CE2955	all-trans-3,4-didehydroretinoate
CE2956	4-Hydroxyretinoic acid
CE2957	18-hydroxy-all-trans-retinoate
CE2958	rac-5,6-epoxy-retinoyl-beta-D-glucuronide
CE2959	13-cis-retinoyl-beta-D-glucuronide
CE2960	Rac-4-Hydroxy-4-O-(Beta-D-Glucuronide)-All-Trans-Retinoate
CE2961	4-hydroxy-all-trans-retinyl acetate
CE2962	rac-4-hydroxy-4-O-(beta-D-glucuronide)-all-trans-retinyl acetate
CE2963	5,6-epoxy-13-cis-retinoate
CE2964	5,8-epoxy-13-cis-retinoate
CE3038	3beta,7alpha-dihydroxy-5-cholestenoate
CE3074	Fructose-3-Phosphate
CE3075	sorbitol 3-phosphate
CE3086	4-(2-amino-3-hydroxyphenyl)-4-oxobutanoic acid O-glucoside
CE3087	beta-carboline
CE3092	glutathionyl-3-hydroxykynurenine glucoside
CE3136	9-cis-4-oxo-13,14-dihydro-retinoate
CE3140	1-(1,2,3,4,5-pentahydroxypent-1-yl)-1,2,3,4-tetrahydro-beta-carboline-3-carboxylate
CE3481	1-lyso-2-arachidonoyl-phosphatidate
CE3554	20-trihydroxy-leukotriene-B4
CE4633	hypochlorous acid
CE4722	beta-casomorphin (1-6)
CE4723	neocasomorphin (1-5)
CE4724	apelin (1-12)
CE4753	dynorphin B (10-13)
CE4754	dynorphin B (6-9)
CE4786	nisinate
CE4788	acetamidopropanal
CE4790	(3S)-3-hydroxy-cis-8-tetradecenoyl-CoA
CE4791	3(S)-hydroxy-dihomo-gama-linolenoyl-CoA
CE4792	3-oxo-cis-8-tetradecenoyl-CoA
CE4793	3-oxo-dihomo-gama-linolenoyl-CoA
CE4794	cis-6-dodecenoyl-CoA
CE4795	2-trans-cis,cis,cis,cis-4,8,11,14-eicosapentaenoyl-CoA
CE4796	3-oxo-(2S)-methylisocapryloyl-CoA
CE4797	2(R),6-dimethyl-heptanoyl-CoA
CE4798	2(S),6-dimethyl-heptanoyl-CoA
CE4799	2,6-dimethyl-trans-2-heptenoyl-CoA
CE4800	3(S)-hydroxy-2(S),6-dimethyl-heptanoyl-CoA
CE4801	3(S)-hydroxy-4(R),8-dimethyl-nonanoyl-CoA
CE4802	3(S)-hydroxy-4-methyl-pentanoyl-CoA
CE4803	3-oxo-4(R),8-dimethyl-nonanoyl-CoA
CE4804	3-oxo-4-methyl-pentanoyl-CoA
CE4805	4(R),8-dimethyl-nonanoyl-CoA
CE4806	4(R),8-dimethyl-trans-2-nonenoyl-CoA
CE4807	4-methyl-trans-2-pentenoyl-CoA
CE4808	4-methyl-pentanoyl-CoA
CE4810	3(S)-hydroxy-all-cis-8,11,14,17-eicosatetraenoyl-CoA
CE4811	3-keto-eicosa-8,11,14,17-all-cis-tetraenoyl-CoA
CE4812	eicosa-2E,8Z,11Z,14Z,17Z-pentaenoyl-CoA
CE4813	eicosa-5,8,11,14,17-all-cis-pentaenoyl-CoA
CE4814	(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA
CE4815	stearidonoyl-CoA
CE4816	2-trans-9,12,15,18,21-all-cis-tetracosahexaenoyl-CoA
CE4817	3(S)-hydroxy-docosa-7,10,13,16,19-all-cis-pentaenoyl-CoA
CE4818	3(S)-hydroxy-tetracosa-9,12,15,18,21-all-cis-pentaenoyl-CoA
CE4819	3-oxo-docosa-7,10,13,16,19-all-cis-pentaenoyl-CoA
CE4820	3-oxo-all-cis-6,9,12,15,18-tetracosapentaenoyl-CoA
CE4821	2-trans-7,10,13,16,19-all-cis-docosahexaenoyl-CoA
CE4822	docosa-7,10,13,16,19-all-cis-pentaenoyl-CoA
CE4823	tetracosa-6,9,12,15,18,21-all-cis-hexaenoyl-CoA
CE4824	tetracosa-9,12,15,18,21-all-cis-pentaenoyl-CoA
CE4825	(3S)-hydroxy-tetracosa-6,9,12,15,18,21-all-cis-hexaenoyl-CoA
CE4826	3-oxo-all-cis-6,9,12,15,18,21-tetracosahexaenoyl-CoA
CE4827	docosa-4,7,10,13,16,19-all-cis-hexaenoyl-CoA
CE4828	trans-2-all-cis-6,9,12,15,18,21-tetracosaheptaenoyl-CoA
CE4829	adrenoyl-CoA
CE4830	2-trans-9,12,15,18-all-cis-tetracosapentaenoyl-CoA
CE4831	3(S)-hydroxy-docosa-7,10,13,16-all-cis-tetraenoyl-CoA
CE4832	3(S)-hydroxy-tetracosa-6,9,12,15,18-all-cis-pentaenoyl-CoA
CE4833	3-oxo-docosa-7,10,13,16-all-cis-tetraenoyl-CoA
CE4834	3-oxo-tetracosa-9,12,15,18-all-cis-tetraenoyl-CoA
CE4835	2E,7Z,10Z,13Z,16Z-docosapentaenoyl-CoA
CE4836	tetracosa-6,9,12,15,18-all-cis-pentaenoyl-CoA
CE4837	tetracosa-9,12,15,18-all-cis-tetraenoyl-CoA
CE4838	trans-2-all-cis-6,9,12,15,18-tetracosahexaenoyl-CoA
CE4839	6,9,12,15,18-all-cis-tetracosapentaenoate
CE4840	(3S)-hydroxy-eicosa-cis,cis-11,14-dienoyl-CoA
CE4841	3-oxoeicosa-cis,cis-11,14-dienoyl-CoA
CE4842	trans,cis,cis-2,11,14-eicosatrienoyl-CoA
CE4843	cis,cis-11,14-eicosadienoyl-CoA
CE4844	3(S)-hydroxy-10,13,16-all-cis-docosatrienoyl-CoA
CE4845	3-oxo-docosa-cis,cis,cis-10,13,16-trienoyl-CoA
CE4846	trans,cis,cis,cis-2,10,13,16-docosatetraenoyl-CoA
CE4847	cis,cis,cis-10,13,16-docosatrienoyl-CoA
CE4848	3(S)-hydroxy-docosa-10,13,16,19-all-cis-tetraenoyl-CoA
CE4849	3(S)-hydroxy-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA
CE4850	3-oxo-docosa-10,13,16,19-all-cis-tetraenoyl-CoA
CE4851	3-oxo-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA
CE4852	trans,cis,cis,cis,cis-2,10,13,16,19-docosapentaenoyl-CoA
CE4853	trans,cis,cis,cis,cis-2,12,15,18,21-tetracosapentaenoyl-CoA
CE4854	all-cis-10,13,16,19-docosatetraenoyl-CoA
CE4855	all-cis-12,15,18,21-tetracosatetraenoyl-CoA
CE4872	3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-27-al
CE4874	5beta-cholestane-3alpha,7alpha,12alpha,27,27-pentaol
CE4876	delta12-Prostaglandin J2
CE4877	15-deoxy-prostaglandin J2
CE4881	nitryl chloride
CE4888	dopaminochrome
CE4890	N-methylsalsolinol
CE4898	13-carboxy-gama-tocopherol
CE4922	Noladin-Ether
CE4936	N-acetyl-leukotriene E4
CE4968	isovalerylglycine
CE4969	isobutyrylglycine
CE4970	2-methylbutyrylglycine
CE4980	Prostaglandin PGE2 glyceryl ester
CE4987	10,11-dihydro-leukotriene B4
CE4988	10,11-dihydro-12-epi-leukotriene B4
CE4989	20-OH-10,11-dihydro-leukotriene B4
CE4990	12-oxo-leukotriene B4
CE4993	10,11-dihydro-12R-hydroxy-leukotriene C4
CE5013	14-hydroxy-4,14-retro-retinol
CE5014	anhydroretinol
CE5016	13,14-dihydroxy-retinol
CE5021	alpha-tocopheryl hydroquinone
CE5022	alpha-tocopheryl quinone
CE5025	5-S-glutathionyl-dopamine
CE5026	5-S-glutathionyl-L-DOPA
CE5049	one carbon unit
CE5068	2-methylglutaconic acid
CE5072	21-hydroxyallopregnanolone
CE5079	1alpha-hydroxy-23-carboxy-24,25,26,27-tetranorvitamin D3
CE5082	N-acetyl-L-cystathionine
CE5101	1-phosphatidyl-1D-myo-inositol 5-phosphate(3-)
CE5114	trans-2-cis,cis,cis-8,11,14-eicosatetraenoyl-CoA
CE5115	trans-3-cis-5,8,11,14-eicosapentaenoyl-CoA
CE5116	trans-3-cis-8,11,14-eicosatetraenoyl-CoA
CE5117	(3E,5Z,8Z)-tetradecatrienoyl-CoA
CE5118	trans-2-cis,cis-4,8-tetradecatrienoyl-CoA
CE5119	trans-3-cis-8-tetradecadienoyl-CoA
CE5120	trans-2-cis-8-tetradecadienoyl-CoA
CE5121	trans-3-decenoyl-CoA
CE5122	3(S)-phytanoyl-CoA
CE5123	3(S)-2-hydroxyphytanoyl-CoA
CE5124	Pristanal
CE5125	(2S)-pristanoyl-CoA
CE5126	(2R)-pristanoyl-CoA
CE5132	1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate(5-)
CE5133	3Alpha,7Alpha-Dihydroxy-5Beta-Cholestan-27-Al
CE5138	12-oxo-20-hydroxy-leukotriene B4
CE5139	12-oxo-20-dihydroxy-leukotriene B4
CE5140	12-oxo-20-trihydroxy-leukotriene B4
CE5141	12,20-dioxo-leukotriene B4
CE5144	3-oxo-11-cis-eicosenoyl-CoA
CE5148	3(S)-hydroxy-11-cis-eicosenoyl-CoA
CE5150	trans,cis-2,11-eicosadienoyl-CoA
CE5151	11-cis-eicosenoyl-CoA
CE5152	3-oxo-13cis-docosenoyl-CoA
CE5153	3(S)-hydroxy-13cis-docosenoyl-CoA
CE5154	trans,cis-2,13-docosadienoyl-CoA
CE5155	cis-13-docosenoyl-CoA
CE5156	3-oxo-cis-15-tetracosaenoyl-CoA
CE5157	3(S)-hydroxy-cis-15-tetracosaenoyl-CoA
CE5158	trans,cis-2,15-tetracosadienoyl-CoA
CE5159	cis-15-tetracosenoyl-CoA
CE5160	3-oxo-cis-9-octadecenoyl-CoA
CE5161	3(S)-hydroxy-cis-9-octadecenoyl-CoA
CE5162	trans,cis-2,9-octadecadienoyl-CoA
CE5165	25(R)-trihydroxycoprostanoyl-CoA
CE5166	25(S)-trihydroxycoprostanoyl-CoA
CE5168	24(R),25(R)-varanoyl-CoA
CE5169	24-oxo-25(R)-trihydroxycoprostanoyl-CoA
CE5178	5-oxo-6-trans-leukotriene B4
CE5179	6,7-dihydro-5-oxo-leukotriene B4
CE5236	O2-4a-cyclic-tetrahydrobiopterin
CE5239	2-hydroxy-17beta-estradiol-4-S-glutathione
CE5240	2-hydroxyestrone-4-S-glutathione
CE5241	2-hydroxy-17beta-estradiol-1-S-glutathione
CE5242	2-hydroxyestrone-1-S-glutathione
CE5243	4-hydroxy-17beta-estradiol-2-S-glutathione
CE5244	4-hydroxyestrone-2-S-glutathione
CE5249	17beta-estradiol-3,4-quinone
CE5250	17beta-estradiol-2,3-quinone
CE5251	estrone-3,4-quinone
CE5252	estrone-2,3-quinone
CE5253	17beta-estradiol-3,4-semiquinone
CE5254	17beta-estradiol-2,3-semiquinone
CE5255	estrone-3,4-semiquinone
CE5256	estrone-2,3-semiquinone
CE5272	3,4-dihydro-1,4-benzothiazine-3-carboxylate
CE5274	3,5-dihydroxy-3,4-dihydro-1,4-benzothiazine
CE5276	dopamine o-quinone
CE5277	aminochrome o-semiquinone
CE5278	dopachrome o-semiquinone
CE5304	15-deoxy-PGD2
CE5305	3(S),6(R)-dihydroxy-tetradec-8Z-enoate
CE5306	3(S),8(R)-dihydroxy-6E,10Z-hexadecadienoate
CE5307	3-oxo-10(R)-hydroxy-octadeca-6E,8E,12Z-trienoate
CE5308	3-oxo-6(R)-hydroxy-tetradec-8-cis-enoate
CE5309	3-oxo-8(R)-hydroxy-hexadeca-6E,10Z-dienoate
CE5310	4(R)-hydroxy-dodec-6Z-enoate
CE5311	6(R)-hydroxy-tetradeca-2E,4E,8Z-trienoate
CE5312	6(R)-hydroxy-tetradeca-2E,8Z-dienoate
CE5313	6(R)-hydroxy-tetradeca-4E,8Z-dienoate
CE5314	8(R)-hydroxy-hexadeca-2E,4E,6E,10Z-tetraenoate
CE5315	8(R)-hydroxy-hexadeca-2E,6E,10Z-trienoate
CE5316	8(R)-hydroxy-hexadeca-4E,6E,10Z-trienoate
CE5317	3(S),6(S)-dihydroxy-tetradec-8Z-enoate
CE5318	3(S),8(S)-dihydroxy-6E,10Z-hexadecadienoate
CE5319	3-oxo-10(S)-hydroxy-octadeca-6E,8E,12Z-trienoate
CE5320	3-oxo-6(S)-hydroxy-tetradec-8Z-enoate
CE5321	3-oxo-8(S)-hydroxy-hexadeca-6E,10Z-dienoate
CE5322	4(S)-hydroxy-dodec-6Z-enoate
CE5323	6(S)-hydroxy-tetradeca-2E,4E,8Z-trienoate
CE5324	6(S)-hydroxy-tetradeca-2E,8Z-dienoate
CE5325	6(S)-hydroxy-tetradeca-4E,8Z-dienoate
CE5326	8(S)-hydroxy-hexadeca-2E,4E,6E,10Z-tetraenoate
CE5327	8(S)-hydroxy-hexadeca-2E,6E,10Z-trienoate
CE5328	8(S)-hydroxy-hexadeca-4E,6E-10Z-trienoate
CE5329	3(S),12(S)-dihydroxy-5-oxo-eicosa-8E,10E,14Z-trienoyl-CoA
CE5331	3,5-dioxo-12(S)-hydroxy-eicosa-8E,10E,14Z-trienoyl-CoA
CE5337	3-oxo-10(S)-hydroxy-octadeca-6E,8E,12Z-trienoyl-CoA
CE5341	5-oxo-12(S)-hydroxy-eicosa-2E,8E,10E,14Z-tetraenoyl-CoA
CE5342	5-oxo-12(S)-hydroxy-eicosa-8E,10E,14Z-trienoyl-CoA
CE5343	6,7-dihydro-5-oxo-12-epi-leukotriene B
CE5344	3(S),12(R)-dihydroxy-5-oxo-eicosa-8E,10E,14Z-trienoyl-CoA
CE5345	3,5-dioxo-12(R)-hydroxy-eicosa-8E,10E,14Z-trienoyl-CoA
CE5346	3-oxo-10(R)-hydroxy-octadeca-6E,8E,12Z-trienoyl-CoA
CE5347	5-oxo-12(R)-hydroxy-eicosa-2E,8E,10E,14Z-tetraenoyl-CoA
CE5348	5-oxo-12(R)-hydroxy-eicosa-8E,10E,14Z-trienoyl-CoA
CE5349	5-oxo-6E-12-epi-leukotriene B4
CE5350	6,7-dihydro-12-epi-LTB4
CE5352	6,7-dihydro-leukotriene B4
CE5456	(R)-2-hydroxy-4-methylpentanoate
CE5525	12-oxo-20-carboxy-leukotriene B4
CE5526	13-oxy radical-octadecadienoate
CE5527	12,13-epoxylinoleic acid radical
CE5528	12,13-epoxy-9-alkoxy-10E-octadecenoate
CE5530	7alpha,27-dihydroxycholesterol
CE5531	12-oxo-c-LTB3
CE5533	9,11-cycloperoxy-15-hydroperoxy-5Z,13E-eicosadienoate
CE5534	9,11-cycloperoxy-5-hydroperoxy-6E,14Z-eicosadienoate
CE5535	9-peroxy-5Z,7E,11Z,14Z-eicosatetraenoate
CE5536	adrenochrome
CE5537	11-peroxy-5Z,8Z,12E,14Z-eicosatetraenoate
CE5538	noradrenochrome
CE5541	adrenochrome o-semiquinone
CE5542	noradrenochrome o-semiquinone
CE5544	5-S-glutathionyl-dopachrome hydroquinone
CE5545	5-S-glutathionyl-aminochrome reduced
CE5546	5-S-glutathionyl-adrenochrome hydroquinone
CE5547	5-S-glutathionyl-noradrenochrome hydroquinone
CE5560	glycolithocholate
CE5586	N-[(E)-4-ammoniobutylidene]propane-1,3-diaminium
CE5588	deoxyhypusine
CE5591	4-OH-13-cis-retinal
CE5592	4-OH-9-cis-retinal
CE5593	4-OH-retinal
CE5594	9,13-cis-retinoate
CE5626	salsolinol 1-carboxylate
CE5627	salsoline-1-carboxylate
CE5629	1,2-dehydrosalsolinol
CE5643	peroxynitrite
CE5652	4-Oxo-9-Cis-Retinal
CE5653	4-oxo-9-cis-retinoate
CE5654	4-oxo-13-cis-retinoate
CE5655	13-hydroxy-gama-tocopherol
CE5656	lipoyl-AMP(1-)
CE5661	15-oxo-lipoxin A4
CE5662	13,14-dihydro-15-oxo-lipoxin A4
CE5663	13,14-Dihydro-Lipoxin A4
CE5665	leukoaminochrome
CE5698	1,4-benzothiazine-o-quinonimine
CE5700	12-hydroperoxyeicosatetraenoate glyceryl ester
CE5708	15-Oxo-Prostaglandin E2-Glyceryl Ester
CE5718	11-Carboxy-gamma-chromanol
CE5719	9-Carboxy-gamma-chromanol
CE5721	7-Carboxy-gamma-chromanol
CE5723	5-Carboxy-gamma-chromanol
CE5726	Prostaglandin PGE2 1-glyceryl ester
CE5727	Prostaglandin PGE2 3-glyceryl ester
CE5730	Prostaglandin PGB2 glyceryl ester
CE5747	N-retinylidene-N-retinylethanolamine
CE5752	iso-A2E(13-cis)
CE5753	iso-A2E(11-cis)
CE5754	iso-A2E(9-cis)
CE5755	iso-A2E(9,13-di-cis)
CE5756	9-cis-retinoyl-beta-D-glucuronide
CE5757	4-oxo-9-cis-retinoyl-beta-glucuronide
CE5775	iso-A2E(9-cis)
CE5776	iso-A2E(11-cis)
CE5782	Somatostatin
CE5783	Somatostatin fragment 3-14
CE5786	kinetensin
CE5787	kinetensin 1-3
CE5788	kinetensin 1-7
CE5789	kinetensin 1-8
CE5791	kinetensin 4-8
CE5794	neuromedin B
CE5795	neuromedin B (1-3)
CE5796	neuromedin B (4-10)
CE5797	neuromedin N
CE5798	neuromedin N (1-4)
CE5799	Glycinamide
CE5800	Oxytocin-1-8
CE5815	20-hydroxy-5S-HETE
CE5820	histidyl-prolinamide
CE5828	5,9,11-trihydroxyprosta-6E,14Z-dien-1-oate
CE5829	5-HT-moduline
CE5835	8alpha-hydroxytocopherone
CE5837	7,8-epoxy-8alpha-hydroperoxytocopherone
CE5838	5,6-epoxy-alpha-tocopheryl quinone
CE5839	4alpha,5-epoxy-8alpha-hydroperoxytocopherone
CE5840	2,3-epoxy-alpha-tocopheryl quinone
CE5842	13-hydroxy-alpha-tocopherol
CE5843	13-carboxy-alpha-tocopherol
CE5844	7-Carboxy-alpha-chromanol
CE5845	5-Carboxy-Alpha-Chromanol
CE5846	11-Carboxy-gamma-tocotrienol
CE5847	9-Carboxy-gamma-tocotrienol
CE5848	7-Carboxy-gamma-tocotrienol
CE5849	7-Carboxy-alpha-tocotrienol
CE5850	11-Carboxy-alpha-tocotrienol
CE5851	9-Carboxy-alpha-tocotrienol
CE5853	alpha-CEHC-glucuronide
CE5854	gama-CEHC-glucuronide
CE5855	11-Carboxy-alpha-chromanol
CE5856	9-Carboxy-alpha-chromanol
CE5860	N-acetyl-5-methoxykynuramine
CE5865	L-leucyl-L-serine
CE5866	L-alanyl-L-leucine
CE5867	N-acetyl-seryl-aspartyl-lysyl-proline
CE5868	N-acetyl-seryl-aspartate
CE5869	lysyl-proline
CE5875	2-methylglutaconyl-CoA
CE5898	pentyl radical
CE5899	Hydroxyl Radical
CE5920	13-oxo-9Z,11E-tridecadienoate
CE5921	octanoate radical
CE5922	12,13-epoxy-9-hydroperoxy-10E-octadecenoate
CE5924	9,11,15-trihydroxyprosta-5Z,13E-dien-1-oate
CE5925	12-peroxy-5Z,8Z,10E,14Z-eicosatetraenoate
CE5926	11,15-cyclo-12,14-cycloperoxy-8-hydroperoxy-5Z,9E-eicosadienoic
CE5928	8-peroxy-5Z,9E,11Z,14Z-eicosatetraenoate
CE5929	11,15-cyclo-8,12,14-trihydroxy-(5Z,9E)-eicosadienoic acid
CE5930	5,9-cyclo-6,8-cycloperoxy-12-hydroperoxy-(10E,14Z)-eicosadienoic acid
CE5931	5,9-cyclo-6,8,12-trihydroxy-(10E,14Z)-eicosadienoic acid
CE5932	13,14-epoxy-retinol
CE5934	3(R)-hydroxy-pristanoyl-CoA
CE5935	(2S,6R,10R)-trimethyl-hendecanoyl-CoA
CE5936	(2R,6R,10R)-trimethyl-hendecanoyl-CoA
CE5938	(4R,8R,12R)-trimethyl-2E-tridecenoyl-CoA
CE5939	3-oxo-(4R,8R,12R)-trimethyl-tridecanoyl-CoA
CE5940	3(R)-hydroxy-(4R,8R,12R)-trimethyl-tridecanoyl-CoA
CE5941	(2S,6R,10R)-trimethyl-2E-hendecenoyl-CoA
CE5942	3-oxo-(2S,6R,10R)-trimethyl-hendecanoyl-CoA
CE5943	3(R)-hydroxy-(2S,6R,10)-trimethyl-hendecanoyl-CoA
CE5944	10,11-dihydro-12-oxo-LTB4
CE5945	10,11-dihydro-20-dihydroxy-LTB4
CE5946	10,11-dihydro-20-trihydroxy-leukotriene B4
CE5947	20-COOH-10,11-dihydro-LTB4
CE5956	trans,trans,cis-geranyl-geranyl-PP
CE5966	3-oxo-5(S),12(R)-dihydroxy-eicosa-8-trans-6,14-cis-trienoyl-CoA
CE5967	3(S),10(R)-OH-octadeca-6-trans-4,12-cis-trienoyl-CoA
CE5968	3(S),10(R)-OH-octadeca-6-trans-4,12-cis-trienoate
CE5969	10,11-dihydro-LTB4-CoA
CE5970	5(S),12(R)-dihydroxy-eicosa-2,8-trans-6,14-cis-tetraenoyl-CoA
CE5971	3(S),5(S),12(R)-trihydroxy-eicosa-8-trans-6,14-cis-trienoyl-CoA
CE5976	12-oxo-10,11-dihydro-20-COOH-LTB4
CE5982	melatonin radical
CE5986	5-nitro-gama-tocopherol
CE5994	20-oxo-leukotriene E4
CE5995	20-COOH-leukotriene E4
CE6000	nitrosoperoxycarbonate
CE6027	24,25,26,27-tetranor-23-oxo-hydroxyvitamin D3
CE6031	androsterone sulfate
CE6182	20-CoA-20-oxo-leukotriene B4
CE6183	18,20-dioxo-20-CoA-leukotriene B4
CE6184	18-CoA-18-oxo-dinorleukotriene B4
CE6185	omega-carboxy-trinor-leukotriene B4
CE6186	18E-20-oxo-20-CoA-LTB4
CE6187	20-CoA-20-oxo-18R-hydroxyleucotriene B4
CE6188	CoA-omega-COOH-dinor-LTE4
CE6189	CoA-20-COOH-18-oxo-LTE4
CE6190	CoA-20-COOH-LTE4
CE6191	18E-20-oxo-20-CoA-LTE4
CE6192	18(R)-hydroxy-20-oxo-20-CoA-LTE4
CE6193	18-carboxy-dinor-LTE4
CE6195	Omega-Cooh-Tetranor-Leukotriene E3 Coenzyme A
CE6197	Omega-Cooh-Tetranor-Leukotriene E3
CE6198	16,18-oxo-18-CoA-dinor-LTE4
CE6204	CoA-18-COOH-16E-dinor-LTE5
CE6205	5-methoxytryptophol
CE6219	gama-tocopheryl quinone
CE6225	16E-18-oxo-18-CoA-dinor-LTE4
CE6226	16(S)-hydroxy-18-oxo-18-CoA-LTE4
CE6227	CoA-18-COOH-15E-dinor-LTE4
CE6228	13E-tetranor-16-oxo-16-CoA-LTE4
CE6229	13E-tetranor-16-carboxy-LTE4
CE6230	15-hydroperoxyeicosa-8Z,11Z,13E-trienoate
CE6232	prostaglandin G1
CE6234	prostaglandin H1
CE6235	S-(PGA2)-glutathione
CE6240	9-deoxy-delta12-PGD2
CE6241	S-(9-deoxy-delta12-PGD2)-glutathione
CE6242	S-(PGJ2)-glutathione
CE6243	S-(9-deoxy-delta9,12-PGD2)-glutathione
CE6244	S-(11-hydroxy-9-deoxy-delta12-PGD2)-glutathione
CE6245	S-(11-OH-9-deoxy-delta9,12-PGD2)-glutathione
CE6246	5,12-Dihydroxy-6,8,10,14-Eicosatetraenoic Acid
CE6247	5,12,20-TriHETE
CE6248	20-OH-hepoxilin A3
CE6250	hepoxilin A3-C
CE6251	12,20-DiHETE
CE6252	urate radical
CE6316	N,N-dimethyldopaminequinone
CE6317	N,N-dimethylindoliumolate
CE6415	11-HpODE
CE6420	8-peroxy-docosahexaenoate
CE6423	11-peroxy-docosahexaenoate
CE6426	7-peroxy-docosahexaenoate
CE6429	14-peroxy-docosahexaenoate
CE6432	10-peroxy-docosahexaenoate
CE6435	17-peroxy-docosahexaenoate
CE6438	16-peroxy-docosahexaenoate
CE6444	4-hydroperoxy-H4-neuroprostane
CE6445	7-hydroperoxy-H4-neuroprostane
CE6446	11-hydroperoxy-H4-neuroprostane
CE6447	10-hydroperoxy-H4-neuroprostane
CE6448	14-hydroperoxy-H4-neuroprostane
CE6449	13-hydroperoxy-H4-neuroprostane
CE6450	17-hydroperoxy-H4-neuroprostane
CE6451	20-hydroperoxy-H4-neuroprostane
CE6452	4-hydroxy-E4-neuroprostane
CE6453	4-hydroxy-D4-neuroprostane
CE6454	7-hydroxy-E4-neuroprostane
